序号,p_date,comment_id,评论链接,comment_content,voice_asr_text,voice_duration,show_comment_cnt_td,direct_reply_comment_cnt_td,like_comment_cnt_td,dislike_comment_cnt_td,voice_resource_id,链接,内容分,音频分,优质判断,意图表达,评论内容和语音内容的关系,语音音频和语音asr文本内容的关系,标注员
534.0,20260610.0,1131207578725.0,,叫拉拉[色],啊，太小了。叫叔叔太老了，叫妈妈性格不对。阿吉小傻，你应该教训吧。,12867.0,11388.0,9.0,134.0,1.0,l2TTQxh_Pi8.aac,,0.0,-1.0,劣质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
535.0,20260610.0,1131144812354.0,,,居然可以在快手上发语音了。,3509.0,11366.0,38.0,4.0,0.0,Ht5SBczGSw4.aac,,0.0,0.0,一般,发语音玩,无评论内容,完全一致,赵婷婷
536.0,20260610.0,1136757009307.0,,,哎呀妈呀，一群大聪明。,3372.0,11355.0,8.0,30.0,1.0,4MV3RurD-l8.aac,,0.0,0.0,一般,玩梗/搞笑,无评论内容,完全一致,赵婷婷
537.0,20260609.0,1132266219679.0,,好心酸呐 感觉看到自己唱歌,墙角开了一朵小花，没人管它自己长大。,6443.0,11354.0,3.0,35.0,0.0,prgtlEmFZwU.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,完全一致,赵婷婷
538.0,20260610.0,1137125427553.0,,如果我说我绷住了呢？[汗],姐姐放个奶屁给你补补补补补。,4253.0,11350.0,16.0,134.0,0.0,PduZeyu9u00.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
539.0,20260610.0,1132809267925.0,,我弟NB不[色],哈哈哈哈哈哈哈哈哈哈哈哈。,4545.0,11331.0,43.0,198.0,0.0,SOFv5Pnr12I.aac,,-1.0,-1.0,劣质,其他,相关-互为补充,语义相等内容有差异,赵婷婷
540.0,20260608.0,1131328452032.0,,我去[色],不用开口。也就无需。多藏。有一种悲伤。是你的名字停留在我的。过往。陪着我呼吸决定我微笑。模样。无法遗忘。,35964.0,11323.0,30.0,195.0,1.0,TAkW0qVzm-o.aac,,0.0,1.0,优质,唱歌/朗诵,"相关-互为补充,相关-引导听评论",语义相等内容有差异,赵婷婷
541.0,20260610.0,1134189196766.0,,十里桃花   待嫁的年华~,十里桃花。代价的年华，凤冠的珍珠。挽进头发檀香拂过。玉镯弄轻纱，空留一盏芽色的清茶。倘若我心中的山水，你眼中都看到。我便一步一莲花祈祷。怎知那浮生一片草，岁月催人老。风月花鸟一笑尘缘了。,52227.0,11320.0,33.0,119.0,2.0,haK-yfhKa_w.aac,,0.0,1.0,优质,唱歌/朗诵,"相关-互为补充,相关-引导听评论",语义相等内容有差异,赵婷婷
542.0,20260610.0,1131971413423.0,,小女子斗胆一试[亲吻],抬头。无时无刻像是一首无法停止单曲循环的。无名格扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。扛住了世俗生活的刁难，却扛不住对你的喜欢。,27890.0,11312.0,12.0,142.0,1.0,SJ9VKhpi-DU.aac,,0.0,1.0,优质,唱歌/朗诵,"相关-互为补充,相关-引导听评论",语义相等内容有差异,赵婷婷
543.0,20260610.0,1137868204944.0,,嗓子不怎么舒服,咳咳咳。没有痛难，没有遗憾，没有哭喊。与否简单，我也一样也会紧张，我会习惯。逐渐平淡。,20517.0,11311.0,8.0,76.0,0.0,gFLgRQppHvo.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
544.0,20260606.0,1131429047052.0,,[玫瑰][落泪]我去真出了,戒了烟我不习惯，没有你我怎么办？,9558.0,11305.0,9.0,27.0,0.0,lchuU9xST48.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
545.0,20260605.0,1131410269014.0,,大家可以听见我说话吗？,我去闺蜜们真的真的快手真的开始发语音了。我们的快手官方终于开这了，哎呦不行了，好好玩啊，大家可以听到我说话吗？可以吗？,12537.0,11298.0,22.0,59.0,1.0,CMs-H6gWTu4.aac,,0.0,0.0,一般,发语音玩,相关-引导听评论,语义相等内容有差异,赵婷婷
546.0,20260610.0,1137487562002.0,,完蛋了，我的变声器也关不掉了,偷我的变声器也关不掉了。,11492.0,11290.0,11.0,33.0,0.0,dqNJZNlfNbw.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
547.0,20260610.0,1132476885508.0,,来个正太,来个正态，我是扭腰。,2760.0,11271.0,11.0,53.0,1.0,RGXJL-svv0M.aac,,-1.0,0.0,劣质,社交互动,相关-互为补充,语义相等内容有差异,赵婷婷
548.0,20260610.0,1136232396066.0,,只有维吾尔族能听懂,we are mike from ween did southem was。,2492.0,11252.0,34.0,25.0,1.0,uH4QgbEOjVc.aac,,0.0,0.0,一般,其他,相关-互为补充,语义相等内容有差异,赵婷婷
549.0,20260610.0,1131336014597.0,,有点哑,无时无刻像是一首无法停止单曲循环的。无名哥。扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。扛住了世俗生活的刁难，却扛不住对你的喜欢。,26678.0,11238.0,79.0,539.0,2.0,R8He4zFfz4A.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
550.0,20260610.0,1138893957505.0,,看完的我[比心],怪了，姚明溪找了贵州人物发吗？什么山体石发可心哦，都不会了哦。是不是sighties foxion。,11524.0,11219.0,10.0,49.0,2.0,Xkk0I8pgRT8.aac,,0.0,0.0,一般,其他,相关-互为补充,语义相等内容有差异,赵婷婷
551.0,20260610.0,1136800645438.0,,哭完了吗?哭完了挂了,快了吗？关了关了。,5487.0,11200.0,28.0,128.0,1.0,loEbLxdWQ-Y.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
552.0,20260610.0,1133168232846.0,,感冒了[憨笑哪吒],中间咖喱倍儿高，奖品野马倍儿好，双击钞票奔吃青蛙，还有大金老铁，中间咖喱倍儿好，奖品野马倍儿好。手机钞票被吃惊了，还有大惊了，完没中。,14160.0,11190.0,4.0,15.0,0.0,Q1fcohbE-uo.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
553.0,20260610.0,1132228747658.0,,尊重声音,不是本来就难吗？,2338.0,11189.0,25.0,7.0,3.0,5bFLIp3Cawg.aac,,0.0,0.0,一般,观点表达,相关-互为补充,完全一致,赵婷婷
554.0,20260610.0,1131966242336.0,,[调皮]家里为什么请高人了？[惊恐],行行行行行。好好好好好好好好好好。哈哈哈哈哈哈哈哈哈。啊疼疼疼疼疼疼疼疼。哈哈哈哈哈哈哈哈哈。啊疼疼疼疼疼疼疼疼疼疼。啊哈哈哈哈哈哈。,29247.0,11155.0,17.0,66.0,0.0,LyzBvoqLVnc.aac,,-1.0,0.0,劣质,其他,相关-互为补充,语义相等内容有差异,赵婷婷
555.0,20260610.0,1131923850426.0,,小猪，小猪木马,我也会我也会啊。小猪小猪马，左边一个马，右边一个马。,10175.0,11153.0,17.0,144.0,0.0,sj08Me1spJY.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
556.0,20260610.0,1132003639023.0,,我以为是全部都有。,我勒个去还真可以，我去我都不知道。,4140.0,11123.0,12.0,20.0,0.0,468QQ0p0YW0.aac,,0.0,0.0,一般,发语音玩,相关-互为补充,语义相等内容有差异,赵婷婷
557.0,20260610.0,1132801191194.0,,极品气泡音，不出教程[憨笑哪吒],我啊。好叔叔姐。啊，不对。,6971.0,11109.0,14.0,13.0,0.0,2Or36tpWqjQ.aac,,0.0,-1.0,劣质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
558.0,20260610.0,1140072578688.0,,我快手能发语音了,真的真的真的，我能发语音了我去。,3499.0,11080.0,31.0,23.0,2.0,HdATTuZ4BMw.aac,,0.0,-1.0,劣质,发语音玩,相关-互为补充,完全一致,赵婷婷
559.0,20260610.0,1132352828991.0,,我去，快手啥时候出的语音？,像是一首无法停止的去循环的。无名哥扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。,14474.0,11075.0,4.0,56.0,1.0,V-GFMTK8e5I.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
560.0,20260610.0,1139900630494.0,,OMG山西人斗胆尝试一下[色],额，这个英语听力的时候，我感觉我自己活到头了，两腿一蹬过去享福去了，老铁们。selicefection。,8226.0,11067.0,3.0,40.0,0.0,3lCJdlp4tWo.aac,,1.0,1.0,优质,玩梗/搞笑,"相关-引导听评论,相关-互为补充",语义相等内容有差异,赵婷婷
561.0,20260603.0,1134757633177.0,,[错了][错了][错了]对不起,hello，hello，hello，hello，小美女们，我带着我的高端侦探印来迷惑你们了。接着日金香。哪有你的日金香，哇哦，佳节舞步甜蜜的弥陀佛，哇哦，我要晕死快手每个人了。,18323.0,11040.0,15.0,26.0,2.0,m4YNWF3AnvY.aac,,0.0,0.0,一般,玩梗/搞笑,"相关-互为补充,相关-引导听评论",语义相等内容有差异,赵婷婷
562.0,20260610.0,1132273938330.0,,不要笑我[憨笑哪吒],没有任何意义，其实你根本没爱过我脑袋空白的此刻。我写了这首歌，其实没什么舍不得，只是眼睛酸涩全是红色。,14536.0,11032.0,12.0,72.0,0.0,cmjAaui8LDI.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
563.0,20260610.0,1131671601144.0,,现在呢[委屈],无时无刻像是一种无法停止单曲循环的。无名格扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。扛住了世俗生活的刁难，却扛不住对你的喜欢。,25458.0,11027.0,38.0,290.0,0.0,ymSQV_-Qxfk.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
564.0,20260609.0,1133105121266.0,,记得把声音调到最大，这他能听到[笑哭][笑哭][笑哭][笑哭],爸爸爸爸。给我给我给我给我给我。毕业后毕业后，毕业后，毕业后毕业后。,25331.0,11024.0,59.0,42.0,4.0,QSXDlYaRjZQ.aac,,0.0,-1.0,劣质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
565.0,20260610.0,1132771520134.0,,,不是评论区都是啥东西啊。,2837.0,11018.0,13.0,115.0,1.0,Ov7lmGx6lWc.aac,,-1.0,0.0,劣质,其他,无评论内容,语义相等内容有差异,赵婷婷
566.0,20260610.0,1132223596882.0,,求建议[猪猪],无时无刻像是一首无法停止的曲循环的。无名格扛住了柴米油盐的麻烦。扛住了朋友聚会的调侃，扛住了世俗生活的刁难。,22278.0,11017.0,8.0,73.0,1.0,9r9IMaErhzE.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
567.0,20260601.0,1132543794507.0,,,真心很贵，你别逢人就给。,3326.0,11009.0,3.0,11.0,2.0,y5NwU0AlDTk.aac,,0.0,0.0,一般,观点表达,无评论内容,完全一致,赵婷婷
568.0,20260610.0,1138937577265.0,,嗯对嗯,咱东北的啊，你口音不好，别挂我一思，俺音乐没学好。先来一个大东北，是我的家乡。six fation。,11671.0,10999.0,11.0,95.0,1.0,nB15HPYwM3I.aac,,0.0,0.0,一般,玩梗/搞笑,不相关,语义相等内容有差异,赵婷婷
569.0,20260610.0,1132931377682.0,,贵州,贵州。60。贵州实验小学。,8082.0,10998.0,4.0,5.0,0.0,fy5FPSA0YUc.aac,,0.0,0.0,一般,发语音玩,相关-互为补充,语义相等内容有差异,赵婷婷
570.0,20260606.0,1132724797784.0,,俺不中了,中奖概率倍儿高，奖品也倍儿好，手机钞票奔驰心跳，还有大金龙。,5649.0,10997.0,6.0,21.0,2.0,UTyrtXThLwg.aac,,0.0,0.0,一般,唱歌/朗诵,不相关,语义相等内容有差异,赵婷婷
571.0,20260610.0,1132719052245.0,,快手可以发语音了！,菩萨那豪气拥放光华江山如此大，何处是家。屋窗中关下看时时的烟雨。曾经了天下输了。辜负了天下那一夜风。人生只不过一场死伤。只是染黄沙，琴声唱白发。你是真英雄总会怕。开刀斩断吧情歌半天马。旧时旧山河在重逢。就抱着吧，心儿会崩塌。你是真英雄的回家。,52855.0,10993.0,28.0,72.0,0.0,FzWmW8T0gcE.aac,,0.0,-1.0,劣质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
572.0,20260610.0,1131459984812.0,,给你们放一首大家都爱听的[比心],all your sunly啊。2345678。,9812.0,10990.0,59.0,178.0,0.0,zNHq1Zg-zWA.aac,,0.0,-1.0,劣质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
573.0,20260610.0,1131621070248.0,,只说干嘛,干嘛？,3384.0,10987.0,54.0,69.0,0.0,BeiAEGiaX54.aac,,-1.0,0.0,劣质,提问,相关-引导听评论,语义相等内容有差异,赵婷婷
574.0,20260610.0,1134472810890.0,,把你的心给我,没有人可以一起学，你根本没爱过我脑袋空白，在此刻我写了这首歌，其实没什么舍不得。只是眼睛瞎说全是红色。把你的心给我，把你的爱给我，这样我才能打胆尝试，有更多的把握。我要的也不多，你不要嫌我啰嗦。,27970.0,10986.0,11.0,62.0,1.0,T9tZHUYXnsE.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
575.0,20260610.0,1139832089496.0,,你呀你,哦，就这样望着你。难免我皱皱出你，我轻描莲花草。成双荡悠悠，你呀你冻我心房，酸我眼眶一生的伤。啊。你呀你彼岸观望，置身一旁一生两望。,34254.0,10986.0,57.0,637.0,0.0,7ogSTKYi3wk.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
576.0,20260610.0,1131224105502.0,,,无时无刻像是一首无法停止的去循环的。无名格扛住了柴米油盐的麻烦，扛住了朋友聚会的条件。,17793.0,10977.0,8.0,67.0,0.0,eKq-Qm46JLo.aac,,0.0,0.0,一般,唱歌/朗诵,无评论内容,语义相等内容有差异,赵婷婷
577.0,20260610.0,1131154015148.0,,,你的声音很好听啊。,1855.0,10976.0,3.0,9.0,2.0,K9AKdJLnR3U.aac,,0.0,0.0,一般,夸赞/支持,无评论内容,语义相等内容有差异,赵婷婷
578.0,20260610.0,1139633144501.0,,看我怎么笑你[憨笑哪吒],你，哈哈哈。,6241.0,10959.0,20.0,96.0,1.0,CdSv-mJMfdk.aac,,-1.0,-1.0,劣质,其他,相关-互为补充,语义相等内容有差异,赵婷婷
579.0,20260610.0,1134235356201.0,,浅试一下,无时无刻像是一首无法停止单曲循环的。无名哥。扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。扛住了世俗生活的刁难，却扛不住对你的喜欢。,27602.0,10953.0,20.0,103.0,1.0,2Y7cbn5Y78s.aac,,0.0,1.0,优质,唱歌/朗诵,"相关-引导听评论,相关-互为补充",语义相等内容有差异,赵婷婷
580.0,20260610.0,1135138094442.0,,练习了好几遍，可能还是有些会跑调[柴犬]见谅[猪猪],无时无刻像是一首无法停止单曲循环的。无名格扛住了柴米油盐的麻烦，扛住了朋友聚会。的调侃扛住了世俗生活的刁难，却扛不住对你的喜欢。,25179.0,10933.0,7.0,67.0,0.0,OTMs_IhnT6k.aac,,0.0,1.0,优质,唱歌/朗诵,"相关-引导听评论,相关-互为补充",语义相等内容有差异,赵婷婷
581.0,20260610.0,1134149551710.0,,咋样？,无时无刻。像是一首无法停止单曲循环的。莫名可。扛住了柴米油盐的麻烦。扛住了没有机会的调侃。扛住了世俗生活的刁难。却扛不住对你的喜欢。,29802.0,10928.0,26.0,168.0,0.0,XUJbjT7Kdyg.aac,,0.0,0.0,一般,唱歌/朗诵,"相关-引导听评论,相关-互为补充",语义相等内容有差异,赵婷婷
582.0,20260610.0,1138971769900.0,,不喜勿喷,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去踩。我忍不住去摘我敞开胸怀，为你等待，令抬令抬抬鼠牛，功夫高虎兔胆气好。龙在左，蛇在右门，匆匆骑来到猴接相转换狗猪来帮忙。12大侠废金刚，12大侠废金刚。肥肥胖胖是太阳，鼓鼓囊囊是山岗风风光光小路上三个吊儿郎当。,38721.0,10913.0,10.0,45.0,1.0,sAU2AOBHpDw.aac,,0.0,1.0,优质,唱歌/朗诵,"相关-引导听评论,相关-互为补充",语义相等内容有差异,赵婷婷
583.0,20260610.0,1132189678055.0,,算了我给大家听的好听的[憨笑哪吒],哒哒哒哒哒哒哒哒哒。啊啊啊啊。,13980.0,10910.0,16.0,71.0,1.0,V_BcD4s_UZQ.aac,,-1.0,-1.0,劣质,其他,相关-引导听评论,语义相等内容有差异,赵婷婷
584.0,20260606.0,1136130107911.0,,别笑我呀,十里桃花待嫁的年华。凤冠的珍珠挽进头发。檀香拂过。玉镯弄轻纱，空留一盏芽色的清茶。,27333.0,10891.0,22.0,48.0,4.0,d0PS-7o63mw.aac,,0.0,0.0,一般,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,赵婷婷
585.0,20260610.0,1134575749808.0,,,算姐姐。没有。,5260.0,10885.0,41.0,269.0,1.0,jHBsRHS7po0.aac,,0.0,-1.0,劣质,玩梗/搞笑,无评论内容,语义相等内容有差异,赵婷婷
586.0,20260610.0,1131643499319.0,,我们玩对抗路的妹子都是甜妹的[亲亲],兄弟们记住了，俺对抗住的都是甜麦，你们遇到那个不是甜麦，那都不是对抗住，知道吗？额，对抗路的妹子全都那么甜美了。,12290.0,10885.0,19.0,37.0,2.0,CPL-iTjB08o.aac,,-1.0,0.0,劣质,生活分享,相关-互为补充,语义相等内容有差异,赵婷婷
587.0,20260608.0,1131399975836.0,,我的妈呀，我发的语音没有一个人是能听得到的,我的妈呀，我不理解我能发语音了，但是我发出去根本没有人回复，我就感觉根本没有人能听得到我发的语音。,7517.0,10878.0,45.0,145.0,1.0,KdsNQUDxMCA.aac,,0.0,0.0,一般,发语音玩,相关-互为补充,语义相等内容有差异,赵婷婷
588.0,20260610.0,1138814805258.0,,看完之后感觉自己活到头了,看完之后感觉自己活到头了。,3130.0,10875.0,4.0,35.0,1.0,zbQVnWjggp4.aac,,0.0,0.0,一般,观点表达,相关-互为补充,语义相等内容有差异,赵婷婷
589.0,20260610.0,1131229586944.0,,,666，这么帅。,1950.0,10873.0,11.0,34.0,0.0,z6dAN-dE2xw.aac,,0.0,0.0,一般,夸赞/支持,无评论内容,语义相等内容有差异,赵婷婷
590.0,20260610.0,1136867115023.0,,不是真关不掉了，吓哭了，给我弄成绷带了[笑哭],清仓大甩卖，清仓大甩卖。,4124.0,10859.0,6.0,77.0,1.0,mhaM_rwBNLo.aac,,0.0,-1.0,劣质,其他,相关-互为补充,语义相等内容有差异,赵婷婷
591.0,20260610.0,1132288257927.0,,《就忘了吧》,好像幽灵在也找不到像你一样的存在。不存在，放开了一个春秋又冬夏。对你的思念它还在挣扎，我一个人停停走走，找不到出口。喔在那些和你走开的时间里，我飘过我的肩。,30803.0,10850.0,36.0,158.0,2.0,CG-wpJFqvFw.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,赵婷婷
592.0,20260610.0,1134432990113.0,,来个大葱，我是酱。,来个大葱，我士酱。,3571.0,10844.0,8.0,30.0,0.0,z2O3DWA0koE.aac,,1.0,0.0,优质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
593.0,20260610.0,1135074490249.0,,本人发了个烧，感了个冒，声音变得如此好听[色],老弟，我的声音好听吗？,4957.0,10839.0,16.0,99.0,0.0,wFph6qigau8.aac,,0.0,-1.0,劣质,提问,相关-互为补充,语义相等内容有差异,赵婷婷
594.0,20260610.0,1136835613518.0,,,哦，我知道。,2106.0,10835.0,2.0,17.0,0.0,AKZ8DC7uQhw.aac,,0.0,0.0,一般,简短回应,无评论内容,语义相等内容有差异,赵婷婷
595.0,20260609.0,1138829229587.0,,哦哦哦哦哦,姐姐，你为什么你的眼睛感觉红红的呀，是没有休息好吗？,6805.0,10825.0,7.0,46.0,1.0,bPmBnH44u-0.aac,,0.0,0.0,一般,提问,不相关,语义相等内容有差异,赵婷婷
596.0,20260610.0,1140232222718.0,,早上醒来突然发现我的也能发了,哎呀我去，为啥呀？,2791.0,10818.0,4.0,3.0,2.0,xxVn9I7YqXU.aac,,-1.0,0.0,劣质,提问,相关-互为补充,语义相等内容有差异,赵婷婷
597.0,20260610.0,1138789350946.0,,我要上厕所了[生气][生气][生气],嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀嘀。哎。我不爱你。喂喂喂。你的美丽。走。因为我。嗯。,60038.0,10812.0,10.0,67.0,0.0,fEAH5GGz9Bw.aac,,0.0,-1.0,劣质,唱歌/朗诵,不相关,语义相等内容有差异,赵婷婷
598.0,20260610.0,1135636431731.0,,咋关啊？咋关啊[大哭],谁能告诉我这个变声器咋关呐，我真不行。,5510.0,10795.0,12.0,62.0,1.0,bcgZoOz-eXk.aac,,0.0,-1.0,劣质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
599.0,20260610.0,1132522881904.0,,一唱歌就虚了[擦鼻涕],哈哈哈哈哈哈哈哈哈。哈哈哈哈哈哈哈哈哈。,8423.0,10793.0,6.0,28.0,0.0,30sQkj_WHM4.aac,,-1.0,0.0,劣质,其他,相关-互为补充,语义相等内容有差异,赵婷婷
600.0,20260610.0,1137064383454.0,,？SOS,吼吼吼，姐姐放个奶屁给你。,3972.0,10788.0,9.0,50.0,1.0,MqdHZd8HPOU.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
601.0,20260610.0,1135708476539.0,,观后感,呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵。要使要使用使用使用使用使用使用使用使用使用。,14538.0,10785.0,21.0,183.0,1.0,Cvxg6aV4QJA.aac,,-1.0,-1.0,劣质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,赵婷婷
602.0,20260610.0,1132164521727.0,,心软的人要承受双倍痛苦。,哦，我们辗转几何，可结果又是如何。没有任何意义，其实你根本没爱过我脑袋空白在此刻。我写了这首歌，其实没什么舍不得，只是眼睛散色全是红色。把你的心给我，把你的爱给我，这样我才能搭胆，尝试，有更多的把握。我要的也不多，你不要嫌我啰嗦，我只是十分害怕，不小心与你错过。,37642.0,10758.0,44.0,324.0,1.0,zCSgeTv9uuI.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,孙素青
603.0,20260610.0,1132314618193.0,,感觉有点窒息了[猪头],总不用心怪你对我太督促。无时无刻像是一首无法停止单曲循环的。无名格扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。扛住了世俗生活的刁难。,27524.0,10753.0,33.0,135.0,0.0,dS0tEavUKXU.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
604.0,20260607.0,1138614621981.0,,我也来唱[头盔],我再唱一遍吧，哈迪米奇米奇啊，心里嘎嘎喜妈毛。麻木麻木叮咚叮咚叽，叮咚叮咚叽，好亲密的米路朵。哈呀good night night night night night night night night。,21861.0,10750.0,17.0,60.0,0.0,AC3MsXYHx-s.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,不相关,孙素青
605.0,20260606.0,1131461267454.0,,读后感,章鱼幸福好不好？,2396.0,10731.0,11.0,127.0,0.0,h33vKpSffaQ.aac,,0.0,0.0,一般,观点表达,相关-引导听评论,语义相等内容有差异,孙素青
606.0,20260602.0,1134288634705.0,,俺还年轻啊,我靠，俺奶之前给我收了人，走之前会看见不干净的东西。俺不中嘞。,9676.0,10729.0,22.0,52.0,0.0,8ImVxN3-VSc.aac,,0.0,1.0,优质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,孙素青
607.0,20260610.0,1134427177008.0,,😋可不可以说燃烧我的卡路里？,杨默文，今天我是抹茶味的绿叶士卷，能不能舔到你的心呢？,5459.0,10718.0,32.0,187.0,0.0,7hKKF4WW77Q.aac,,1.0,1.0,优质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,孙素青
608.0,20260610.0,1133401870063.0,,,当恩怨各一半，我怎么圈揽，看灯笼血红染。寻仇已太晚。,12002.0,10716.0,16.0,167.0,0.0,1JVK-ODUx1Y.aac,,0.0,1.0,优质,唱歌/朗诵,无评论内容,语义相等内容有差异,孙素青
609.0,20260610.0,1135668073851.0,,没招[色],这个天生气发语音还在唱歌，我听着语音绷不住了啊。,6170.0,10693.0,16.0,111.0,2.0,aY4Haeq7yWw.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
610.0,20260610.0,1136044759659.0,,啦啦啦～～,没有任何意义，其实你根本不爱过我拿，最恐怕这首歌写了这首歌。其实没什么舍不得，只是眼睛涩涩，全是红色，把你的心给我。把你的爱给我，这样我才能大胆尝试，有更多的把握。我要的也不多，你不要嫌我啰嗦，我只是十分害怕，不小心易错过。,33546.0,10685.0,23.0,41.0,1.0,IdQzuMKgYUs.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
611.0,20260609.0,1139584028585.0,,新年版[憨笑哪吒],啊啊啊啊。,4324.0,10683.0,9.0,52.0,0.0,zjC1zvtdq6o.aac,,0.0,1.0,优质,玩梗/搞笑,相关-引导听评论,不相关,孙素青
612.0,20260610.0,1137544126853.0,,,来我给小宝们重新介绍一下我们王者荣耀掉分套餐啊，大家最近上分的生活是不是过腻了。看到身边的人掉分，自己也想来体验一下，好，那么我们今天这款王者荣耀掉分套餐就给大家准备好了希望。洪水平的王者荣耀对决力可以随便进去对比一下，不论是这个三线全崩的速度还是我们这个也区被入侵的程度，咱们都是可以调达同一段位的而且小伙伴们不论是我们玩什么样的英雄，什么样的对局，就算国服来了也照样掉分。所以说呢，今天我们抱着一个睡势的心态给你自己一个机会，也是给我们一个机会。这个掉分套餐你买回去，但凡掉分不够速度，但凡掉分不够生气，你都给我退回来，七天有理由不兑现，我们已经买好了。,41714.0,10683.0,111.0,807.0,0.0,RhJUEutqixQ.aac,,1.0,1.0,优质,玩梗/搞笑,无评论内容,语义相等内容有差异,孙素青
613.0,20260606.0,1134995128167.0,,懂？,那你。我的爱像天使守护你。,7088.0,10680.0,10.0,8.0,1.0,kz_5_fJVpPY.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
614.0,20260602.0,1133460134643.0,,不是很会,嗯，我来试试吧。中奖概率倍儿高，奖品页码倍儿好，手机钞票粉丝精挑，还有大金捞，停完没中。,12561.0,10676.0,8.0,45.0,4.0,CmQ-LxnaC9g.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
615.0,20260608.0,1135393623944.0,,模仿的不好求别喷,卡通。协议嘞。the coolem,5164.0,10668.0,17.0,52.0,0.0,grcqdUPCPGg.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,不相关,孙素青
616.0,20260610.0,1131627579663.0,,像吗[亲吻],hello大家好，我是tf家族四雷西城陈银行。,3040.0,10656.0,23.0,46.0,0.0,bGEN8MyiQNk.aac,,0.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
617.0,20260610.0,1132775073639.0,,,来个板面，我是凉子。,4029.0,10656.0,36.0,113.0,0.0,N2Tx_uLE4pk.aac,,1.0,1.0,优质,玩梗/搞笑,无评论内容,完全一致,孙素青
618.0,20260607.0,1134284118736.0,,@伦敦那场雨(O3548526307),没有人笑死我了，卧槽，小姐，我在床上直打咕噜子。,4601.0,10646.0,10.0,25.0,0.0,mnyF_6OEFwM.aac,,0.0,0.0,一般,玩梗/搞笑,相关-引导听评论,不相关,孙素青
